Heurist ID,Creator of the record,Checked,Corpus name,Corpus ID Number,Corpus ID numeric,SEG Number,Modern Location,Ancient Site,Ancient Site -  Region,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief Decoration,Architectural Relief,Figural Relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,6BC and more,5BC,4BC,3BC,2BC,1BC,1AD,2AD,3AD,4AD,5AD and more,Relative Roman,Undated,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet,Context epithet,Collective group names,Collective Identity Type,Collective identity Ethnicity,Geographic names,Total Geographic names,Imperial titulature,Currency,Person,Total people,Total names,Context Names,Community Context,
2375,"Janouchova, Petra *",Yes,I Aeg Thrace,36,10036,,Abdera,Abdera,Abdera,3767,POINT(24.9737048 40.9337303),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,5 Squeeze,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"[Anax]imandros, child of Theod[otos/oros], partner of, grandchild of,",1,1,Greek only,,
2398,"Janouchova, Petra *",Yes,I Aeg Thrace,58,10058,,Abdera,Abdera,Abdera,3767,POINT(24.9734259 40.9337303),2 Vicinity,,No,N/A,No,Stone,Other >,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-475,-450,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,4,,,,,,,"Athenaios,",City,Greek,,,No,No,"Thaliarchos, child of, partner of, Athenaios, grandchild of, Ke[?]ys, child of Thalinos, partner of, grandchild of,",2,2,Greek and Uncertain,,
2496,"Janouchova, Petra *",Yes,I Aeg Thrace,107,10107,,Mitriko,Stryme,Stryme,3779,POINT(25.2874125 40.938038),1 Certain,Mitrikou,No,N/A,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-450,-100,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Public,Other > notes,,horos,3,"Horos,",,,"Zeus, Athena,","Horios,",Regional,,None,,,,No,No,,0,0,No Name,,
2497,"Janouchova, Petra *",Yes,I Aeg Thrace,108,10108,,Molyvoti,Stryme,Stryme,3780,POINT(25.2859783 40.9405546),1 Certain,,No,N/A,No,Stone,Marble,,Stele,1 Intact,4 N/A,,,,,Yes,-420,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Public,Other > notes,,horos,4,,,,"Athena,","Podalirios, Machaon, Periestos,",Subregional,,None,,,,No,No,,0,0,No Name,,
2498,"Janouchova, Petra *",Yes,I Aeg Thrace,109,10109,,Molyvoti,Stryme,Stryme,3780,POINT(25.2854633 40.9398414),1 Certain,,No,N/A,No,Stone,Marble,Thasos,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Verse,,Irregular,Private,,Funerary,,5,,"Mnema,Mneme, Stesai,",,,,,,None,,,,No,No,"Antikrates, child of Hekataios, partner of, grandchild of, Herainna, child of Antagoras, partner of Antikrates, grandchild of,",2,2,Greek only,,
2500,"Janouchova, Petra *",Yes,I Aeg Thrace,110,10110,53:680,Mitriko,Stryme,Stryme,3779,POINT(25.2852917 40.9386095),1 Certain,,No,N/A,No,Stone,Other >,,Stele,1 Intact,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,4,,,,,,,"Paroites,",City,Greek,,,No,No,"Niostratos?, child of, partner of, Paroites, grandchild of,",1,1,Greek only,Greek,
2503,"Janouchova, Petra *",Yes,I Aeg Thrace,111,10111,,Mitriko,Stryme,Stryme,3779,POINT(25.2867508 40.9397117),1 Certain,,No,N/A,No,Stone,Other >,,Stele,1 Intact,4 N/A,,,,,Yes,-450,-425,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Aristarchos, child of Pythonymos, partner of, grandchild of,",1,1,Greek only,,
2504,"Janouchova, Petra *",Yes,I Aeg Thrace,112,10112,47:1103,Molyvoti,Stryme,Stryme,3780,POINT(25.2842617 40.9382853),1 Certain,,No,N/A,No,Stone,Other >,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"[B]ition, child of Aristomenes, partner of, grandchild of,",1,2,Greek and Uncertain,,
2505,"Janouchova, Petra *",Yes,I Aeg Thrace,113,10113,,Molyvoti,Stryme,Stryme,3780,POINT(25.285635 40.9394524),1 Certain,,No,N/A,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Zenon, child of Posideios, partner of, grandchild of,",1,1,Greek only,,
2508,"Janouchova, Petra *",Yes,I Aeg Thrace,114,10114,49:987,Kasaktsi Dere,Stryme,Stryme,3781,POINT(25.2884674 40.9397117),2 Vicinity,"Ed.pr. D.Triantaphyllos, AD 50 B2 (1995) [2000] 668.",No,N/A,No,Stone,Other >,poros,Stele,1 Intact,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Metrofante, child of Nestis, partner of, grandchild of,",1,1,Greek only,,
2509,"Janouchova, Petra *",Yes,I Aeg Thrace,115,10115,,Anakioi Mitrikou,Stryme,Stryme,3782,POINT(25.2850342 40.9384798),3 Region,,Yes,Secondary,No,Stone,Marble,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Metrofon, child of Metrodotos, partner of, grandchild of,",1,1,Greek only,,
2510,"Janouchova, Petra *",Yes,I Aeg Thrace,116,10116,,Mitriko,Stryme,Stryme,3779,POINT(25.2841759 40.9380259),1 Certain,,No,N/A,No,Stone,Other >,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Nikarete, child of [S]imos, partner of, grandchild of,",1,1,Greek only,,
2511,"Janouchova, Petra *",Yes,I Aeg Thrace,117,10117,47:1105,Molyvoti,Stryme,Stryme,3780,POINT(25.2844334 40.9385446),1 Certain,,No,N/A,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Uncertain,,,,3,,,,,,,,None,,,,No,No,"[?]kos, child of S[ib]yrtios, partner of, grandchild of,",1,1,Uncertain,,
2512,"Janouchova, Petra *",Yes,I Aeg Thrace,118,10118,,Molyvoti,Stryme,Stryme,3780,POINT(25.2831459 40.9384798),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-450,-425,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Stoichedon,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"[Her]onestos, child of [Hip]pokritos, partner of, grandchild of,",1,1,Greek only,,
2514,"Janouchova, Petra *",Yes,I Aeg Thrace,119,10119,,Mitriko,Stryme,Stryme,3779,POINT(25.2858067 40.9394524),1 Certain,,No,N/A,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Aristas, child of Heroboulos, partner of, grandchild of,",1,1,Greek only,,
2515,"Janouchova, Petra *",Yes,I Aeg Thrace,120,10120,,Glyphada,Stryme,Stryme,3783,POINT(25.2309179 40.9770145),1 Certain,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Aristoboulos, child of Nymenios, partner of, grandchild of,",1,1,Greek only,,
2518,"Janouchova, Petra *",Yes,I Aeg Thrace,121,10121,,Mitriko,Stryme,Stryme,3779,POINT(25.2854633 40.9397765),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Dionysofanes, child of Theokles, partner of, grandchild of,",1,1,Greek only,,
2521,"Janouchova, Petra *",Yes,I Aeg Thrace,122,10122,,Mitriko,Stryme,Stryme,3779,POINT(25.2832763 40.9391961),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Nes[tokles], child of Panta[kles], partner of, grandchild of,",1,1,Greek only,,
2522,"Janouchova, Petra *",Yes,I Aeg Thrace,123,10123,49:990,Mitriko,Stryme,Stryme,3779,POINT(25.2898399 40.9471003),1 Certain,"Ed.pr. D.Triantaphyllos, AD 50 B2 (1995) [2000] 668.",No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Sime, child of Nymes, partner of, grandchild of,",1,1,Greek only,,
2523,"Janouchova, Petra *",Yes,I Aeg Thrace,124,10124,,Mitriko,Stryme,Stryme,3779,POINT(25.2852917 40.9397765),1 Certain,,No,N/A,No,Stone,Marble,,Stele,1 Intact,4 N/A,,,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Dionysothemis, child of, partner of, grandchild of,",1,1,Greek only,,
2524,"Janouchova, Petra *",Yes,I Aeg Thrace,125,10125,,Mitriko,Stryme,Stryme,3779,POINT(25.2852058 40.9393875),1 Certain,,No,N/A,No,Stone,Marble,,Architectural feature,3 Heavily damaged,4 N/A,1 Architectural / Ornamental,Naiskos,,,Yes,-410,-390,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Uncertain,,,,1,,,,,,,,None,,,,No,No,,0,0,No Name,,
2525,"Janouchova, Petra *",Yes,I Aeg Thrace,126,10126,,Molyvoti,Stryme,Stryme,3780,POINT(25.2876949 40.9381556),1 Certain,,No,N/A,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-410,-390,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,3,,,,,,,,None,,,,No,No,"Apollodoros, child of Antifanes, partner of, grandchild of,",1,1,Greek only,,
2526,"Janouchova, Petra *",Yes,I Aeg Thrace,127,10127,,Molyboti,,Chersonesos Molybotes,3784,POINT(25.2852058 40.9399062),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,1 Intact,4 N/A,,,,,Yes,-410,-390,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Herainna, child of Artemon, partner of, grandchild of,",1,1,Greek only,,
2527,"Janouchova, Petra *",Yes,I Aeg Thrace,128,10128,,Glyphada,Stryme,Stryme,3783,POINT(25.23036 40.9763341),3 Region,,No,N/A,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-410,-390,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Metrodotos, child of Herandros, partner of, grandchild of,",1,1,Greek only,,
2528,"Janouchova, Petra *",Yes,I Aeg Thrace,129,10129,,Mitriko,Stryme,Stryme,3779,POINT(25.2875233 40.9398414),1 Certain,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-410,-390,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,1,,,,,,,,None,,,,No,No,"Dioskorides, child of, partner of, grandchild of,",1,1,Greek only,,
2529,"Janouchova, Petra *",Yes,I Aeg Thrace,130,10130,,Mitriko,Stryme,Stryme,3779,POINT(25.2869225 40.9390633),1 Certain,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-410,-390,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,1,,,,,,,,None,,,,No,No,"Protofaos, child of Heresstratos, partner of, grandchild of,",1,1,Greek only,,
2536,"Janouchova, Petra *",Yes,I Aeg Thrace,131,10131,,Molyvoti,Stryme,Stryme,3780,POINT(25.2858925 40.939193),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,1 Intact,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-499,-300,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"[D]iogeiton, child of [Hek]ataios, partner of, grandchild of,",1,1,Greek only,,
2537,"Janouchova, Petra *",Yes,I Aeg Thrace,132,10132,,Kasaktsi Dere,Stryme,Stryme,3781,POINT(25.284605 40.938804),2 Vicinity,,No,N/A,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,,0,0,No Name,,
2538,"Janouchova, Petra *",Yes,I Aeg Thrace,133,10133,,Molyvoti,Stryme,Stryme,3780,POINT(25.2853775 40.9402304),1 Certain,,No,N/A,No,Stone,Marble,,Stele,8 Lost,4 N/A,,,,,No,-450,-380,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Uncertain,,,,1,,,,,,,,None,,,,No,No,"Nestoris, child of Prokritos, partner of, grandchild of,",1,1,Greek only,,
2572,"Janouchova, Petra *",Yes,I Aeg Thrace,162,10162,,Molyvoti,Stryme,Stryme,3780,POINT(25.2863216 40.9396469),3 Region,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,,,4,,,,,,,,None,,,,No,No,"[?]agros, child of [F]anipp[os], partner of, grandchild of, [?]tas, child of [F]anipp[os], partner of, grandchild of,",2,4,Greek and Uncertain,,
2573,"Janouchova, Petra *",Yes,I Aeg Thrace,163,10163,,Molyvoti,Stryme,Stryme,3780,POINT(25.2865791 40.9400359),3 Region,,No,N/A,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,,,2,,,,,,,,None,,,,No,No,"Unknown, child of Herodoros, partner of, grandchild of Menes,",1,2,Greek and Uncertain,,
2575,"Janouchova, Petra *",Yes,I Aeg Thrace,165,10165,,Mitriko,Stryme,Stryme,3779,POINT(25.2837467 40.9377666),2 Vicinity,,No,N/A,No,Stone,Other >,,Stele,1 Intact,4 N/A,,,,,Yes,-450,-425,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,4,,,,,,,"Aiginetes,",City,Greek,,,No,No,"Kikos, child of Frasidemos, partner of, Aiginetes, grandchild of,",1,1,Greek only,Greek,
3083,"Janouchova, Petra *",Yes,I Aeg Thrace,388,10388,,Mesochori,,,3801,POINT(25.3592824 41.0931259),2 Vicinity,,No,Funerary,No,Stone,Marble,,Architectural feature,2 Slightly damaged,4 N/A,,Base,,,Yes,-499,-475,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Funerary,,4,,"Mnema,Mneme, Stesai,",,,,,,None,,,,No,No,"Echepolis, child of, partner of, grandchild of, Straton, child of, partner of, grandchild of,",2,2,Greek only,,
3192,"Janouchova, Petra *",Yes,I Aeg Thrace,401,10401,48:904,Zone,Zone,Zone,3813,POINT(25.6827521 40.8636634),1 Certain,"P.Tsatsopoulou, ΑΕΜΘ 9 (1995) [1998] 443,",No,Habitation,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Base,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,3,"Syntelonai,",,,"Aphrodite,",,,,None,,,,No,No,"[?]nokles, child of, partner of, grandchild of,",1,1,Uncertain,,
3195,"Janouchova, Petra *",Yes,I Aeg Thrace,403,10403,,Zone,Zone,Zone,3813,POINT(25.6819367 40.8638095),3 Region,in the wall,Yes,Secondary,No,Stone,Marble,,Architectural feature,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Base,,,Yes,-425,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Dedicatory,,3,"Archein,Arxantes,",,,,,,,None,,,,No,No,"Pollis, child of De[?], partner of, grandchild of, Archikles, child of E[?], partner of, grandchild of,",2,4,Greek and Uncertain,,
3196,"Janouchova, Petra *",Yes,I Aeg Thrace,404,10404,,Zone,Zone,Zone,3813,POINT(25.6826234 40.8634849),3 Region,,Yes,Secondary,No,Stone,Other >,poros,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Adamas, child of Bostas, partner of, grandchild of,",1,1,Greek only,,
3198,"Janouchova, Petra *",Yes,I Aeg Thrace,405,10405,,Zone,Zone,Zone,3813,POINT(25.681808 40.8637283),3 Region,,Yes,Secondary,No,Stone,Other >,poros,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Myrsine, child of Alkebiades, partner of, grandchild of,",1,1,Greek only,,
3200,"Janouchova, Petra *",Yes,I Aeg Thrace,406,10406,,Zone,Zone,Zone,3813,POINT(25.6815934 40.8636797),3 Region,,Yes,Secondary,No,Stone,Other >,poros,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-460,-440,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Hegesilaos, child of Alkibiades, partner of, grandchild of,",1,1,Greek only,,
3201,"Janouchova, Petra *",Yes,I Aeg Thrace,407,10407,,Zone,Zone,Zone,3813,POINT(25.681572 40.8636634),1 Certain,,No,Funerary,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Naiskos,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Hegesilaos, child of Alkibiades, partner of, grandchild of,",1,1,Greek only,,
3203,"Janouchova, Petra *",Yes,I Aeg Thrace,408,10408,,Zone,Zone,Zone,3813,POINT(25.6818938 40.8640042),2 Vicinity,,No,Funerary,No,Stone,Other >,poros,Stele,3 Heavily damaged,1 Relief,1 Architectural / Ornamental,Architectural moulding,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Kleostratos, child of Danaos, partner of, grandchild of,",1,1,Greek only,,
3204,"Janouchova, Petra *",Yes,I Aeg Thrace,409,10409,,Zone,Zone,Zone,3813,POINT(25.6822157 40.8638095),3 Region,,Yes,Secondary,No,Stone,Other >,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Pythodoros, child of Theogenes, partner of, grandchild of,",1,1,Greek only,,
3205,"Janouchova, Petra *",Yes,I Aeg Thrace,410,10410,,Zone,Zone,Zone,3813,POINT(25.6819367 40.8637608),3 Region,,Yes,Secondary,No,Stone,Other >,,Stele,4 Almost destroyed,4 N/A,,,,,Yes,-450,-400,Not Roman,-5,,1,,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"[?]ne, child of [?]lbios, partner of, grandchild of,",1,1,Uncertain,,
3212,"Janouchova, Petra *",Yes,I Aeg Thrace,416,10416,,Zone,Zone,Zone,3813,POINT(25.6824088 40.863631),1 Certain,,No,Funerary,No,Stone,Other >,,Architectural feature,7 Drawing,4 N/A,,Base,,,Yes,-499,-300,Not Roman,-5|-4,,0.5,0.5,,,,,,,,,,,,No,Undistinguishable,,Irregular,Private,,Funerary,,2,,,,,,,,None,,,,No,No,"Rode, child of Metrodotos, partner of, grandchild of,",1,1,Greek only,,
