Record ID	Creator of the record ID 	Creator of the record	Checked	Corpus name	Corpus ID number	Corpus ID numeric	SEG number	Location > ID 	Location >	Geolocation	Position certainty	Geography notes	Reuse	Archaeological context	Mound	Material category	Stone	Origin of stone	Object category	Preservation	Decoration	Relief decoration	Architectural relief	Figural relief	Decoration notes	Visual record availability	Start Year	End Year	Relative Date	Century	Dialect	Latin	Language form	Script	Layout	Document typology	Public documents	Private documents	Document typology notes	Extent of lines	Administrative keywords ID 	Administrative keywords	Formulaic keywords ID 	Formulaic keywords	Honorific keywords ID 	Honorific keywords	Religious keywords ID 	Religious keywords	Epithet > ID 	Epithet >	Collective group names ID 	Collective group names	Geographic names ID 	Geographic names	Imperial titulature	Currency	Person > ID 	Person >	Visual documentation
2403	2	Janouchova, Petra	Yes	I Aeg Thrace	62	10062		3767	Abdera - Abdera - Abdera	p POINT(24.9736404 40.9337141)	3 Region		Yes	Secondary	No	Stone	Marble		Stele	1 Intact	1 Relief	1 Architectural / Ornamental	Naiskos			Yes	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	3931	Metrodoros, child of Aristokles, partner of, grandchild of							
14427	2	Janouchova, Petra	Yes	IK Byzantion	81	95081		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9701748 41.0102809)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	1 Architectural / Ornamental	Floral motive		Akroterion	No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	14429	Eionia, child of Kallistratos, partner of, grandchild of							
14430	2	Janouchova, Petra	Yes	IK Byzantion	82	95082		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9655399 41.0095684)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	1 Architectural / Ornamental	Floral motive			No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	14431	Epiktesis, child of Botrys, partner of, grandchild of							
14493	2	Janouchova, Petra	Yes	IK Byzantion	102	95102		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9700031 41.0102809)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		3		1930|1919	Parodita,Parodeita|Chaire						No	No	14494	Tyrannos, child of Gorgias, partner of, grandchild of							
14617	2	Janouchova, Petra	Yes	IK Byzantion	133	95133		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9659691 41.0097627)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15016	Hygeia, child of Eukleon, partner of, grandchild of							
14619	2	Janouchova, Petra	Yes	IK Byzantion	135	95135		14233	Küçükçekmece - Rhegion - Byzantion	p POINT(28.7640953 41.0238158)	2 Vicinity	Yarimburgaz	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No									
14639	2	Janouchova, Petra	Yes	IK Byzantion	156	95156	48:896	14192	Istanbul - Byzantion - Byzantion	p POINT(28.9713764 41.0250461)	2 Vicinity	Stele allegedly found in Byzantine ruins in Taksim (Istanbul) in 1912. V.Laurent, Échos d’Orien t 31 (1932) 425/426 no. 3 (on the basis of a photo and a note given by a certain Mr. Dallegio). Now in the Museum of Natural History of the Smithsonian Institute in Washington, to which it was given by Jefferson Patterson (member of the House of Representatives) 1. Republished by E.Voutiras, EA 30 (1998) 145-147 (ph.), who dates it to the 2nd cent. B.C. on palaeographical grounds [now also in I.Byzantio n 156]:	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		3	15054	Paidagogos	1919	Chaire						No	No	5367	Athenodoros, child of, partner of, grandchild of						
14641	2	Janouchova, Petra	Yes	IK Byzantion	158	95158		14192	Istanbul - Byzantion - Byzantion	p POINT(28.951292 41.0156563)	2 Vicinity	Unkapani	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15058	Lollia, child of Salbia, partner of, grandchild of							
14644	2	Janouchova, Petra	Yes	IK Byzantion	161	95161		14192	Istanbul - Byzantion - Byzantion	p POINT(28.96348 41.0094389)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15064	Bibia, Moschin, child of, partner of, grandchild of							
14645	2	Janouchova, Petra	Yes	IK Byzantion	162	95162		14650	Çatalca - - Byzantion	p POINT(28.463056 41.141667)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15065	Unknown, child of Menios, partner of, grandchild of							
14647	2	Janouchova, Petra	Yes	IK Byzantion	164	95164		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9617634 41.009957)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1	Doric	No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15070	Theofila, child of Filadelfos, partner of, grandchild of							
14648	2	Janouchova, Petra	Yes	IK Byzantion	165	95165		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9651108 41.0096332)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary	aristocratic daughter	1		1919	Chaire						No	No	15072	Tryfosa, child of Noemon, partner of, grandchild of							
14651	2	Janouchova, Petra	Yes	IK Byzantion	167	95167		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9645958 41.0089855)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15078	Filoumene, child of Roup/fos, partner of, grandchild of							
14663	2	Janouchova, Petra	Yes	IK Byzantion	179	95179		14139	Silivri - Salymbria - Salymbria	p POINT(28.1864548 41.1538424)	3 Region	road building between Silivri and Sinekli	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	15105|15106	Xenon, child of Meniskos, partner of, grandchild of|Meniskos, child of Xenon, partner of, grandchild of							
14679	2	Janouchova, Petra	Yes	IK Byzantion	194	95194		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9663982 41.0086617)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15126	Soteris, child of, partner of, grandchild of							
14771	2	Janouchova, Petra	Yes	IK Byzantion	252	95252		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9692307 41.0700338)	2 Vicinity	Kagithane köyü 	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15246	Unknown, child of Apollas, partner of, grandchild of							
14772	2	Janouchova, Petra	Yes	IK Byzantion	253	95253		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9674282 41.0090503)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15247	Unknown, child of Heris, partner of, grandchild of							
14780	2	Janouchova, Petra	Yes	IK Byzantion	261	95261		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9633942 41.0094389)	1 Certain	Laleli, Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15260	Naxos, child of Sosias, partner of, grandchild of							
14806	2	Janouchova, Petra	Yes	IK Byzantion	286	95286		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9674282 41.0090503)	2 Vicinity	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1	Doric	No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15324	Damatrios, child of, partner of, grandchild of							
14891	2	Janouchova, Petra	Yes	IK Byzantion	370	95370		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9651966 41.0076901)	3 Region		No	N/A	No	Stone	Marble	Prokonessos	Stele	9 Undeterminable	1 Relief	2 Figural				No	-199	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15497	Pythion, child of Meidias, partner of, grandchild of							
3550	1792|1793	Ctibor, Jan|Kobierska, Marketa	Yes	IG Bulg 1(2)	159|5044	20159		3846	Varna - Odessos - Odessos	p POINT(27.9032135 43.2061142)	2 Vicinity	Found in the street called formerly Saidova. 	No	N/A	No	Stone	Marble		Stele	1 Intact	1 Relief	2 Figural		Sitting woman|Horse   rider		Yes	-20	-20	Roman	-1|1		No	Prose		Irregular	Private		Funerary		5		1919	Chaire						No	No	5506|5507	Dionysios, child of Protagoras, partner of Potou, grandchild of|Potou, child of Protagoras, partner of, grandchild of							
3489	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	117	20117		3846	Varna - Odessos - Odessos	p POINT(27.9179871 43.2034084)	1 Certain		No	N/A	No	Stone	Marble		Stele	3 Heavily damaged	4 N/A					Yes	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		5		1919	Chaire						No	No	5825	Aristokles, child of Antifilos, partner of, grandchild of							
3544	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	153	20153		3846	Varna - Odessos - Odessos	p POINT(27.902956 43.2052384)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	1 Relief	2 Figural		Sitting woman		Yes	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		6		1919	Chaire						No	No	5515	Hypsa, child of Athenogoras, partner of Dionysios, grandchild of							
3545	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	154	20154		3846	Varna - Odessos - Odessos	p POINT(27.9037285 43.2063019)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	1 Relief	2 Figural		Sitting woman		Yes	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	5512|5513	Sarkous, child of Hellen, partner of Aristokles, grandchild of|Aristokles, child of Zenis, partner of, grandchild of							
3546	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	155	20155		3846	Varna - Odessos - Odessos	p POINT(27.9164314 43.1956656)	1 Certain	"Found in ""aquarium"" (?) by the seaside."	No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	1 Relief	2 Figural		Sitting woman|Standing person		Yes	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		4		1919	Chaire						No	No	5322	Unknown, child of Demetrios, partner of, grandchild of							
3547	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	156	20156		3846	Varna - Odessos - Odessos	p POINT(27.9031277 43.2056138)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	1 Relief	2 Figural		Sitting woman|Group of people		Yes	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	5442	Agathenor, child of Agathenor, partner of, grandchild of							
3548	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	157	20157		3846	Varna - Odessos - Odessos	p POINT(27.9202616 43.1998812)	1 Certain		No	N/A	No	Stone	Marble		Stele	4 Almost destroyed	1 Relief	2 Figural		Sitting woman		Yes	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	5511	Eme, child of Eup[?], partner of Nikion, grandchild of							
6414	1792|1793	Ctibor, Jan|Kobierska, Marketa	Yes	IG Bulg 1(2)	338|5113	20338		6172	Nesebar - Mesambria - Mesambria	p POINT(27.7238274 42.6597167)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	1 Relief	2 Figural		Funerary scene/Symposion		Yes	-200	99	Not Roman	-2|-1|1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	6415	Menestheus, child of Chaireas, partner of, grandchild of							
11736	1793	Kobierska, Marketa	Yes	IG Bulg 5	5078	75078		5988	Vinitsa - - Odessos	p POINT(27.9832935 43.2478598)	2 Vicinity		No	N/A	No	Stone	Limestone		Stele	3 Heavily damaged	1 Relief					Yes	-200	-30		-2|-1		No	Prose		Irregular	Private		Funerary		5		1920	Chairete						No	No	11738	[?]eneos, child of Menekrates, partner of, grandchild of							
14726	2	Janouchova, Petra	Yes	IK Byzantion	209	95209		14192	Istanbul - Byzantion - Byzantion	p POINT(28.969029 41.00923)	1 Certain	Beyazit	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural		Funerary scene/Symposion		No	-200	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	15153	Euktemon, child of Menandros, partner of, grandchild of							
14728	2	Janouchova, Petra	Yes	IK Byzantion	211	95211		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9751959 41.0106047)	1 Certain	Cagaloglu	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural		Funerary scene/Symposion		No	-200	-100	Not Roman	-2		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	15157	Chema, child of Lykomedes, partner of, grandchild of							
14734	2	Janouchova, Petra	Yes	IK Byzantion	217	95217		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9816117 41.0066781)	1 Certain	Ishakpasa	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural		Funerary scene/Symposion		No	-200	-1	Not Roman	-2|-1		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	15169	[?]poris, child of Nikoboulos, partner of, grandchild of							
14467	2	Janouchova, Petra	Yes	IK Byzantion	94	95094		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9621067 41.0222617)	2 Vicinity	Unkapani	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	1 Architectural / Ornamental|2 Figural	Floral motive	Standing person	Akroterion	No	-220	-180	Not Roman	-3|-2		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	14468	Zopyros, child of Apollodoros, partner of, grandchild of							
8070	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	395 quatter	20395.4		8044	Sozopol - Apollonia - Apollonia	p POINT(27.6949883 42.4243435)	2 Vicinity	Found in the street called Hermanite	No	N/A	No	Stone	Marble		Stele	1 Intact	1 Relief	1 Architectural / Ornamental	Naiskos|Floral motive|Crown			Yes	-25	-1	Roman	-1		No	Prose		Irregular	Public	Honorary decrees			5	1821	Demos	1919	Chaire						No	No	8071|8072|8073	Likinios, child of Loukios, partner of, grandchild of|Loukios, child of Loukios, partner of Athenais, grandchild of|Athenais, child of Glykon, partner of Loukios, grandchild of						
16068	2	Janouchova, Petra	Yes	Other	SEG 58:689	100274	58:689	14192	Istanbul - Byzantion - Byzantion	p POINT(28.974202 41.003315)	2 Vicinity	Eight stelae found during excavations in the Küçük Ayasofia Street, Eminönü in Istanbul, not far from the Hippodrome. Edd.pr. F.Demirkök, T.Drew-Bear, Anatolia Antiqua 16 (2008) 224-228 nos. 1-8 (ph.; translation).	No	N/A	No	Stone			Stele	9 Undeterminable	4 N/A				Pedimental stele with akroteria; the figures in the relief, in a recessed panel below the inscription, are effaced.	No	-299	-200	Not Roman	-3		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	5891|8976	Kerdon, child of, partner of, grandchild of|Chreste, child of, partner of, grandchild of							
2402	2	Janouchova, Petra	Yes	I Aeg Thrace	61	10061		3767	Abdera - Abdera - Abdera	p POINT(24.9732971 40.9338113)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	3 Heavily damaged	1 Relief	1 Architectural / Ornamental	Naiskos|Floral motive			Yes	-299	-100	Not Roman	-3|-2		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	3930	Unknown, child of, partner of [D]emokades, grandchild of							
2881	2	Janouchova, Petra	Yes	I Aeg Thrace	305	10305		3789	Maroneia - Maroneia - Maroneia	p POINT(25.5128288 40.8773096)	1 Certain		No	N/A	No	Stone	Marble		Stele	2 Slightly damaged	1 Relief	1 Architectural / Ornamental	Naiskos			Yes	-299	-100	Not Roman	-3|-2		No	Prose		Irregular	Private		Funerary		4		1919	Chaire						No	No	4576	Alexandr[os], Eresi[?], child of Fidias, partner of, grandchild of							
16066	2	Janouchova, Petra	Yes	Other	SEG 58:692	100277	58:692	14192	Istanbul - Byzantion - Byzantion	p POINT(28.974202 41.003315)	2 Vicinity	Eight stelae found during excavations in the Küçük Ayasofia Street, Eminönü in Istanbul, not far from the Hippodrome. Edd.pr. F.Demirkök, T.Drew-Bear, Anatolia Antiqua 16 (2008) 224-228 nos. 1-8 (ph.; translation).	No	N/A	No	Stone			Stele	9 Undeterminable	4 N/A				Pedimental stele; in a recessed panel a funerary banquet: at right a man clad in a himation, reclining on a couch and holding a drinking cup in his left hand; at left a male servant; in front of the couch a tripod with legs that terminate in the form of a lion’s paws; on the tripod a bowl and food; inscription above the panel:	No	-30	284	Roman	-1|1|2|3		No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	6600	[?]doros, child of, partner of, grandchild of							
14658	2	Janouchova, Petra	Yes	IK Byzantion	174	95174		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9599609 41.0147496)	3 Region	Place called Tosunkoy, unknown	No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-30	284	Roman	-1|1|2|3		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	15092	Dionysis, child of Eiranichos, partner of, grandchild of							
14776	2	Janouchova, Petra	Yes	IK Byzantion	257	95257		14192	Istanbul - Byzantion - Byzantion	p POINT(28.958931 41.0139077)	3 Region		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-30	284	Roman	-1|1|2|3		No	Prose		Irregular	Private		Funerary		2		1919	Chaire						No	No	8575	[?]on, child of, partner of, grandchild of							
14795	2	Janouchova, Petra	Yes	IK Byzantion	275	95275		14473	Büyükçekmece - - Byzantion	p POINT(28.5896873 41.0213551)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural				No	-30	284	Roman	-1|1|2|3		No	Prose		Irregular	Private		Funerary		7		1927|1921|1920|1930	Mnema,Mneme|Charin|Chairete|Parodita,Parodeita						No	No	15299	Eia, child of Heliades, partner of, grandchild of							
14829	2	Janouchova, Petra	Yes	IK Byzantion	309	95309		14192	Istanbul - Byzantion - Byzantion	p POINT(28.9616776 41.0220674)	2 Vicinity	Unkapani	No	N/A	No	Stone	Marble		Architectural feature	9 Undeterminable	1 Relief	2 Figural|1 Architectural / Ornamental	Other > notes		sarcophagus	No	-30	284	Roman	-1|1|2|3		No	Prose		Irregular	Private		Funerary		4		1919	Chaire						No	No	15375	Anthimos, child of Zoilos, partner of, grandchild of							
2667	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	27|32 bis	20027		3841	Balchik - Dionysopolis - Dionysopolis	p POINT(28.165555 43.40829)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	9 Undeterminable	1 Relief	2 Figural		Group of people		No	-300	-200	Not Roman	-3		No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	5350	Rodokleia, child of Demochares, partner of, grandchild of							
6388	1792|1793	Ctibor, Jan|Kobierska, Marketa	Yes	IG Bulg 1(2)	335 ter|5109	20335.3		6172	Nesebar - Mesambria - Mesambria	p POINT(27.7227974 42.6599691)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	1 Intact	1 Relief	1 Architectural / Ornamental|2 Figural	Naiskos	Group of people|Sitting woman	Siting woman (Kallion), standing man (Ariston), standing servant and altar	Yes	-300	-200	Not Roman	-3		No	Prose		Irregular	Private		Funerary		2		1920	Chairete						No	No	6390|6391	Kallion, child of, partner of, grandchild of|Ariston, child of, partner of, grandchild of							
6396	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	335 sexies	20335.6		6172	Nesebar - Mesambria - Mesambria	p POINT(27.723999 42.6605372)	2 Vicinity		No	N/A	No	Stone	Marble		Stele	4 Almost destroyed	1 Relief	1 Architectural / Ornamental|2 Figural	Naiskos	Sitting woman		Yes	-300	-200	Not Roman	-3	Doric	No	Prose		Irregular	Private		Funerary		1		1919	Chaire						No	No	6397	[?]ros, child of Metrodoros, partner of, grandchild of							
6422	1792	Ctibor, Jan	Yes	IG Bulg 1(2)	339	20339		6172	Nesebar - Mesambria - Mesambria	p POINT(27.7349854 42.6595273)	2 Vicinity	Found in the ancient necropolis.	No	Funerary	Yes	Stone	Marble		Stele	4 Almost destroyed	1 Relief	2 Figural			Head of a man can be seen (according to Mihailov, not to me)	Yes	-300	-200	Not Roman	-3	Doric	No	Prose		Irregular	Private		Funerary		3		1919	Chaire						No	No	6423	Athanaion, child of Kraton, partner of, grandchild of							
