Record ID,Creator of the record,Checked,Corpus name,Corpus ID number,Corpus ID numeric,SEG number,Location >,Geolocation,Position certainty,Geography notes,Reuse,Archaeological context,Mound,Material category,Stone,Origin of stone,Object category,Preservation,Decoration,Relief decoration,Architectural relief,Figural relief,Decoration notes,Visual record availability,Start Year,End Year,Relative Date,Century,Dialect,Latin,Language form,Script,Layout,Document typology,Public documents,Private documents,Document typology notes,Extent of lines,Administrative keywords,Formulaic keywords,Honorific keywords,Religious keywords,Epithet >,Collective group names,Geographic names,Imperial titulature,Currency,Person >,Visual documentation
15545,2,Yes,Other,Kabyle 13,100010,42:647,8341,p POINT(26.4847326 42.5495711),1 Certain,,No,Habitation,No,Stone,Marble,,Architectural feature,3 Heavily damaged,4 N/A,1 Architectural / Ornamental,Altar,,,No,140,150,Roman,2,,No,Prose,,Irregular,Private,,Dedicatory,,1,,9387,,,,,,No,No,13575,
15546,2,Yes,Other,Kabyle 14,100011,,8341,p POINT(26.4848185 42.5489388),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,1 Architectural / Ornamental,Altar,,,No,,,Roman,,,Yes,Prose,,Irregular,Private,,Dedicatory,,3,,,,1864|3129,,,,No,No,,
15547,2,Yes,Other,Kabyle 16,100012,42:647a,8341,p POINT(26.4846468 42.5488123),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,1,,1907,,,,,,No,No,,
15548,2,Yes,Other,Kabyle 17,100013,42:648,8341,p POINT(26.4852047 42.5493498),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,,,,,,No,150,250,Roman,2|3,,No,Prose,,Irregular,Private,,Dedicatory,soldier dedication,2,3177,1907|2351,,,,,,No,No,15555,
15549,2,Yes,Other,Kabyle 18,100014,,8341,p POINT(26.4841318 42.5495078),1 Certain,,No,Habitation,No,Stone,Marble,,Architectural feature,9 Undeterminable,1 Relief,1 Architectural / Ornamental,Altar,,,No,136,193,Roman,2,,Yes,Prose,,Irregular,Private,,Dedicatory,dedication of cohors II Lucensium,7,,,,1860,10447,,,No,No,15556,
15550,2,Yes,Other,Kabyle 19,100015,,8341,p POINT(26.484561 42.5494446),1 Certain,"AE 1999, 1377. V. Velkov, Kabile 2, 1991, 24, Nr. 19; obr. 19. - AE 1999. ",No,Habitation,No,Stone,Marble,,Architectural feature,9 Undeterminable,4 N/A,1 Architectural / Ornamental,Altar,,,No,136,200,Roman,2,,Yes,Prose,,Irregular,Private,,Dedicatory,"dedication of soldier, cohors II Lucensium",4,,,,,,,,No,No,7397,
15551,2,Yes,Other,Kabyle 20,100016,42:650,8341,p POINT(26.4844751 42.5492865),1 Certain,,No,Habitation,No,Stone,Marble,,Sculpture,9 Undeterminable,4 N/A,,,,,No,200,230,Roman,3,,No,Prose,Roman style,Irregular,Private,,Dedicatory,"soldier, princeps dedication to deity",2,,1907|1917,,1896,6974,,,No,No,15557,
15552,2,Yes,Other,Kabyle 21,100017,42:649,8341,p POINT(26.4843893 42.5489071),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,1 Relief,,,,,No,200,250,Roman,3,,No,Prose,,Irregular,Private,,Dedicatory,"soldier dedication, aktoarios",3,,2351,,1901,4043,,,No,No,9166,
15553,2,Yes,Other,Kabyle 23,100018,,8341,p POINT(26.4845181 42.5487491),1 Certain,"AE 1999, 1380. V. Velkov, Kabile 2, 1991, 25, Nr. 23; obr. 23. - AE 1999. G. Mihailov, in: Studia in memoriam Karel Škorpil (Sofia 1961) 211-212, Nr. 4; fig. 4. - AE 1999. ",No,Habitation,No,Stone,Marble,,Sculpture,9 Undeterminable,4 N/A,,,,,No,71,130,Roman,1|2,,Yes,Prose,,Irregular,Private,,Dedicatory,dedication of soldier maybe? Caius Egnatius Rufus,2,,,,,,,,No,No,,
15558,2,Yes,Other,Kabyle 24,100019,42:651,8341,p POINT(26.4839172 42.5488123),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,200,250,Roman,3,,No,Prose,,Irregular,Private,,Dedicatory,,11,,1903|1907|1902,,1878,15564,15565,,No,No,15566,
2169,2,Yes,I Aeg Thrace,2,10002,,3767,p POINT(24.9732113 40.9337789),3 Region,house of Konstantinos Demetrakopoulos,Yes,Secondary,No,Stone,Marble,Thasian marble,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-300,-280,Not Roman,-3,,No,Prose,,Irregular,Public,Legal/Regulations,,,8,2170|2171|1846,,,,,,2093,No,Yes,,
15559,2,Yes,Other,Kabyle 25,100020,42:652a,8341,p POINT(26.4843893 42.549413),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,3,,,,,,,,No,No,,
15560,2,Yes,Other,Kabyle 26,100021,SEG 42:651b,8341,p POINT(26.4838314 42.5498872),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,2,,,,,,,,No,No,15568,
15561,2,Yes,Other,Kabyle 27,100022,42:652c,8341,p POINT(26.485076 42.5503298),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,2,,1917|1907,,,,,,No,No,,
15562,2,Yes,Other,Kabyle 28,100023,42:652d,15569,p POINT(26.7111969 42.6400204),1 Certain,"Lozenets, not in Kabyle, but stored in local museum",No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,200,250,Roman,3,,No,Prose,,Irregular,Private,,Dedicatory,,1,,,,,,,,No,No,4505,
15563,2,Yes,Other,Kabyle 29,100024,42:652e,8341,p POINT(26.4842176 42.5495711),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,4 Almost destroyed,4 N/A,,Altar,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,4,,1917,,,,,,No,No,,
15554,2,Yes,Other,Kabyle 30,100025,,8341,p POINT(26.4849472 42.5494446),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,Altar,,,No,,,Roman,,,Yes,Prose,,Irregular,Private,,Dedicatory,altar?,3,,,,,,,,No,No,,
15570,2,Yes,Other,Kabyle 32,100026,42:652g,8341,p POINT(26.4849472 42.5494446),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,3,,,,,,,,No,No,,
15571,2,Yes,Other,Kabyle 33,100027,,8341,p POINT(26.4827585 42.549413),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,,1,,1903,,,,,,No,No,,
15572,2,Yes,Other,Kabyle 34,100028,,8341,p POINT(26.4838743 42.5495078),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Undistinguishable,,Irregular,Uncertain,,,,1,,,,,,,,No,No,,
15573,2,Yes,Other,Kabyle 35,100029,,8341,p POINT(26.4846468 42.5501402),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Undistinguishable,,Irregular,Uncertain,,,unclear text,2,,,,,,,,No,No,,
2294,2,Yes,I Aeg Thrace,3,10003,47:1026,3767,p POINT(24.9727 40.93352),3 Region,"S Abdera, Bouloustra, reused in the house, or in the Kastro (but uncertain), M.Feyel, BCH 66/67 (1942/1943) 180-182 no. 2. Reprinted and discussed by É.Jakab, op.cit. (cf. SEG 47 2258) 90-93 (German translation).",Yes,Secondary,No,Stone,Marble,Thasos,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-370,-350,Not Roman,-4,Ionic-attic,No,Prose,,Stoichedon,Public,Legal/Regulations,,"Fragmentary law concerning the sale of slaves and pack animals, ca. 350 B.C",13,1805,,,,,,,No,No,,
15574,2,Yes,Other,Kabyle 36,100030,,8341,p POINT(26.4862776 42.5503931),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Dedicatory,unclear text,1,,,,,,,,No,No,,
15575,2,Yes,Other,Kabyle 37,100031,,8341,p POINT(26.4845181 42.550235),1 Certain,"AE 1978, 0729. V. Velkov, Chiron 8, 1978, 437; Taf. 6. - AE 1978. ",No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,Altar,,,No,150,250,Roman,2|3,,Yes,Prose,,Irregular,Private,,Funerary,"veteran made for his brother soldier, eques, 60 yrs old",9,,,,,,,,No,No,,
15576,2,Yes,Other,Kabyle 38,100032,,8341,p POINT(26.4843893 42.5487807),1 Certain,"AE 1978, 0730. V. Velkov, Chiron 8, 1978, 437. AE 1978. G. Mihailov, in: Studia in memoriam Karel Škorpil (Sofia 1961) 209, Nr. 1; fig. 1a u. 1b. - AE 1978. ",No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,Altar,,,No,150,300,Roman,2|3,,Yes,Prose,,Irregular,Private,,Funerary,"fun. insc. to veteran who died 40 yrs old after 24 years of military service, soldier Damaneus, son of Amazenos, Thracian, he was carcerarius",7,,,,,,,,No,No,,
15577,2,Yes,Other,Kabyle 41,100033,,8341,p POINT(26.4840889 42.5497608),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,No,140,160,Roman,2,,Yes,Prose,,Irregular,Private,,Funerary,,5,,,,,,,,No,No,,
15578,2,Yes,Other,Kabyle 42,100034,42:653,8341,p POINT(26.4842176 42.5496975),1 Certain,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,,,,No,Prose,,Irregular,Private,,Funerary,,1,,1903,,,,,,No,No,,
15579,2,Yes,Other,"AE 2004, 1302",100035,,15583,p POINT(26.6467992 42.3708398),2 Vicinity,"between Asenovo and Simenovovo, AE 2004, 1302. K. Karadimitrova - P. Iliena, Num&Ep 1, 2003, 212. 222, Nr. 10. - AE 2004. ",No,N/A,No,Metal,,,Other,9 Undeterminable,4 N/A,,,,"Instrumentum domesticum, bronze, latin only",No,100,200,Roman,2,,Yes,Prose,,Irregular,Private,,Ownership,,1,,,,,,,,No,No,15585,
15580,2,Yes,Other,"AE 2007, 1259",100036,,15586,p POINT(26.6936445 42.2863895),1 Certain,"I. Boyanov, ArchBulg 11, 3, 2007, 69-70; fig. 1 u. 2. - AE 2007. ",No,Habitation,No,Metal,,,Other,3 Heavily damaged,4 N/A,,,,"Military diploma, bronze, veteran, only Latin",Yes,152,158,Roman,2,,Yes,Prose,,Irregular,Private,,Other > notes,Latin,10,,,,,,,,No,No,,
15582,2,Yes,Other,"AE 1965, 0001",100037,,15587,p POINT(26.781914 42.5591476),2 Vicinity,"AE 1965, 0001.V. Velkov, AAntHung 13, 1965, 207-214; Abb. 1. - AE 1965. ",No,N/A,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,184,185,Roman,2,,Yes,Prose,,Irregular,Private,,Dedicatory,"freedman dedication , in jurisdiction of Agri Blaesianorum",9,,,,,,,,No,No,,
15588,2,Yes,Other,"AE 1961, 0316",100038,,15569,p POINT(26.7085972 42.6406475),2 Vicinity,"AE 1961, 0316. V. Beševliev, in: Mélanges D. Dečev. Studia in honorem D. Dečev (Sofia 1958) 271, Nr. 2. - AE 1961. ",No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,293,305,Roman,3|4,,Yes,Prose,,Irregular,Public,Other > notes,,,3,,,,,,,,Yes,No,,
15589,2,Yes,Other,"AE 2006, 1243",100039,,15590,p POINT(26.3223654 42.3252487),2 Vicinity,,No,Habitation,No,Stone,Marble,,Stele,9 Undeterminable,4 N/A,,,,,No,,,Roman,,,Yes,Prose,,Irregular,Private,,Dedicatory,"soldier dedication, Thracian Aurelius Aulousanis",1,,,,,,,,No,No,,
2295,2,Yes,I Aeg Thrace,4,10004,,3768,p POINT(22.5006866 38.4815112),1 Certain,archaeological site,No,Religious/Ritual,No,Stone,Marble,,Stele,3 Heavily damaged,4 N/A,,,,,Yes,-260,-240,Not Roman,-3,,No,Prose,,Irregular,Public,Religious/Ritual,,regulation of Soteria festival in Delphi,14,1846|1821|1851|2301|2302|1805,1904|1934|1912,1988|2003,2296|2300|1881|1860|2303,,2297|2299,2089,No,Yes,,
15593,2,Yes,Other,"AE 2007, 1260",100040,,8329,p POINT(26.5570665 42.6428372),1 Certain,"I. Boyanov, ArchBulg 11, 3, 2007, 70-73; fig. 3 u. 4. - AE 2007. ",No,N/A,No,Metal,,,Other,3 Heavily damaged,4 N/A,,,,"Military diploma, Bronze",No,78,196,Roman,1|2,,Yes,Prose,,Irregular,Private,,Other > notes,Military diploma,12,,,,,,,,No,No,,
15594,2,Yes,Other,Gyuzelev 2013 1,100041,60:683,8044,p POINT(27.7030134 42.4112271),1 Certain,"Necropolis Kalfata, quadrate J07; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,4 N/A,,,,,Yes,-399,-350,Not Roman,-4,,No,Prose,,Irregular,Private,,Funerary,"Dated by archaeological finds and by script to 4th c. BC, four bar sigma",2,,,,,,,,No,No,15595,
15597,2,Yes,Other,Gyuzelev 2013 2,100042,60:684,8044,p POINT(27.7030134 42.4112271),1 Certain,"Necropolis Kalfata, quadrate M06; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,Pumice limestone,Stele,1 Intact,2 Painted,,,,Painted letters,Yes,-420,-380,Not Roman,-5|-4,Ionic-attic,No,Prose,,Irregular,Private,,Funerary,Possibly Ionic,2,,,,,,,,No,No,15599,
15600,2,Yes,Other,Gyuzelev 2013 3,100043,60:685,8044,p POINT(27.7033782 42.4105459),1 Certain,"Necropolis Kalfata, quadrate M07-L07; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,4 N/A,,,,,Yes,-420,-380,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15602,
15604,2,Yes,Other,Gyuzelev 2013 4,100044,60:686,8044,p POINT(27.7038074 42.4102766),1 Certain,"Necropolis Kalfata, quadrate K07; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,2 Painted,,,,Painted letters,Yes,-399,-300,Not Roman,-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15606,
15603,2,Yes,Other,Gyuzelev 2013 5,100045,60:687,8044,p POINT(27.7033353 42.4098488),1 Certain,"Necropolis Kalfata, quadrate K07; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,Limestone pumice,Stele,1 Intact,4 N/A,,,,,Yes,-420,-380,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15608,
15611,2,Yes,Other,Gyuzelev 2013 6,100046,60:688,8044,p POINT(27.7035928 42.409928),1 Certain,"Necropolis Kalfata, quadrate K-L06; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,Limestone pumice,Stele,1 Intact,1 Relief,,,,Painted letters,Yes,-420,-380,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,,,No,No,15612,
15610,2,Yes,Other,Gyuzelev 2013 7,100047,60:689,8044,p POINT(27.7040434 42.4100389),1 Certain,"Necropolis Kalfata, quadrate K06; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48. Not far from stone structure.",No,Funerary,No,Stone,Limestone,Limestone pumice,Stele,1 Intact,2 Painted,,,,Painted letters,Yes,-399,-300,Not Roman,-4,,No,Prose,,Irregular,Private,,Funerary,Father and daughter grave,4,,,,,,,,No,No,15613|15615,
15609,2,Yes,Other,Gyuzelev 2013 8,100048,60:690,8044,p POINT(27.7233982 42.4074723),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,Limestone pumice,Stele,1 Intact,4 N/A,,,,,Yes,-420,-380,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15617,
15619,2,Yes,Other,Gyuzelev 2013 9,100049,60:691,8044,p POINT(27.7242136 42.4076149),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,4 N/A,,,,,Yes,-399,-300,Not Roman,-4,,No,Prose,,Irregular,Private,,Funerary,Dated by letters,3,,,,,,,,No,No,15620,
2304,2,Yes,I Aeg Thrace,5,10005,,3769,p POINT(26.785014 38.177262),3 Region,"SE of Smyrna, modern Izmir, reused in Valli-Kouissou or Balli-Kuyu",Yes,Secondary,No,Stone,Marble,,Stele,2 Slightly damaged,1 Relief,1 Architectural / Ornamental,Crown,,,Yes,-166,-160,Not Roman,-2,,No,Prose,,Irregular,Public,State decrees,,,50,1821|2305|2306|1816|2307|2309|1846|1817|1839|2312|1851|1805|1810|2313,1934|1912,2308|1990|1999|2310|1996|2003|2004|2311,,,2297|2011|1791,2081|2133,No,No,3873|3874|3875|3876|3877,
15618,2,Yes,Other,Gyuzelev 2013 10,100050,60:692,8044,p POINT(27.724514 42.4079635),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15623,
15630,2,Yes,Other,Gyuzelev 2013 11,100051,60:693,8044,p POINT(27.7248788 42.4081694),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15632,
15629,2,Yes,Other,Gyuzelev 2013 12,100052,60:694,8044,p POINT(27.7247286 42.4078367),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-499,-300,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15635,
15628,2,Yes,Other,Gyuzelev 2013 13,100053,60:695,8044,p POINT(27.7248788 42.4082962),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,4 Almost destroyed,1 Relief,,,,Painted letters,Yes,-399,-300,Not Roman,-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15638,
15627,2,Yes,Other,Gyuzelev 2013 14,100054,60:696,8044,p POINT(27.7244925 42.4081377),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,Limestone pumice,Stele,2 Slightly damaged,4 N/A,,,,,Yes,-420,-380,Not Roman,-5|-4,,No,Prose,,Irregular,Private,,Funerary,,2,,,,,,,,No,No,15640,
15626,2,Yes,Other,Gyuzelev 2013 15,100055,60:698,8044,p POINT(27.7248573 42.4082803),1 Certain,"Necropolis Budzhaka; Gyuzelev, Martin. 2013. Tituli sepulcrales in necropoli antiqua locis dictis Kalfata and Budzaka prope urbem Sozopolim reperti in effosionibus annorum MMIV et MMV. Il Mar Nero 7: 115–48.",No,Funerary,No,Stone,Limestone,,Stele,1 Intact,4 N/A,,,,Stele fixed by lead clamps to the base,Yes,-399,-350,Not Roman,-4,,No,Prose,,Irregular,Private,,Funerary,,3,,,,,,5347,,No,No,15642,
