Record ID,Geographic name,Geographic Type,Type of geographical entity,Short summary,Mappable location,Date,Author or Creator >
3454,"Galatia","Area","place?","in Asia Minor",,,"2"
7624,"Geloupara","Settlement","Thracian village","near Pizos",,,"2"
2164,"Hadrianopolis","Settlement","city","Edirne","p POINT(26.5557145 41.6771297)",,"2"
2162,"Haimos","Mountain","mountain range","Stara Planina","p POINT(25 43.25)",,"2"
3348,"Hebros","River","river","Maritsa",,,"2"
2700,"Hellas","Area","region","Greece","p POINT(22.835083 38.5266816)",,"2"
2135,"Herakleia Pontica","Settlement","city","Karadeniz Ereğli","p POINT(31.42026 41.279909)",,"2"
2122,"Istros","River","river","lover part of Danube","p POINT(26.8742272 44.0984174)",,"2"
2068,"Kabyle","Settlement","city",,"p POINT(26.4784397 42.5474649)",,"2"
2106,"Kalchedon","Settlement","city","Kadıköy","p POINT(29.08227 40.980141)",,"2"
2069,"Kallatis","Settlement","city","Mangalia","p POINT(28.5741496 43.8152436)",,"2"
2118,"Kardia","Settlement","city","Cardia","p POINT(26.6226196 40.3881354)",,"2"
2596,"Kos","Settlement","city",,"p POINT(27.2846317 36.8943802)",,"2"
7626,"Kourpisos","Settlement","Thracian village","near Pizos",,,"2"
7622,"Krasalopara","Settlement","Thracian village","near Pizos",,,"2"
2107,"Kyzikos","Settlement","city",,"p POINT(27.8548444 40.39832)",,"2"
6778,"Lakedaimon","Area","area","Lakedaimon","p POINT(22.4304771 37.0607937)",,"2"
2088,"Lesbos","Area","island/city",,"p POINT(26.2777073 39.2645095)",,"2"
2166,"Makedonia","Area","region",,"p POINT(22.0027892 40.6170447)",,"2"
2092,"Maroneia","Settlement","city",,"p POINT(25.5171698 40.9044618)",,"2"
2071,"Mesambria Pontica","Settlement","city","Nessabar","p POINT(27.7205593 42.6601365)",,"2"
2428,"Mestos (form of Nestos)","River","river","form of river Nestos",,,"2"
15393,"Mylassa","Settlement","city name","Milas","p POINT(27.780795 37.311638)",,"2"
2474,"Neikaia","Settlement","city","Bithynian Nikaia","p POINT(28.0841017 38.1704637)",,"2"
2074,"Odessos","Settlement","city","Varna","p POINT(27.9147333 43.2140504)",,"2"
4969,"Ogygia","Area","island? mythical area",,,,"2"
16683,"Oiskos","Settlement","city","Oescus","p POINT(24.48333 43.7)",,"2"
2144,"Olynthos","Settlement","city",,"p POINT(23.3426114 40.2911675)",,"2"
2119,"Perinthos","Settlement","city",,"p POINT(27.95484 40.969332)",,"2"
2636,"Philippoi","Settlement","city","Philippi","p POINT(24.3386534 41.0251024)",,"2"
2075,"Philippopolis","Settlement","city","Plovdiv","p POINT(24.7452904 42.1354079)",,"2"
14303,"Philokterea","Settlement","place, unknown",,,,"2"
2076,"Pistiros","Settlement","city",,"p POINT(24.0750155 42.2307172)",,"2"
7603,"Pizos","Settlement","emporion",,"p POINT(25.5476546 42.1950308)",,"2"
3427,"Plotinopolis","Settlement","city","opposite Didymoteicho","p POINT(26.4904015 41.3437186)",,"2"
2080,"Pontos","Sea","region and sea",,"p POINT(34.299316 43.413029)",,"2"
6853,"Porolissum","Settlement","city","in Roumania","p POINT(23.0670001 47.1898336)",,"2"
2163,"Rhodope","Mountain","mountain range",,"p POINT(24.574167 41.601111)",,"2"
2081,"Rome","Settlement","city",,"p POINT(12.4963655 41.9027835)",,"2"
2086,"Samothrake","Settlement","island/city",,"p POINT(25.5917918 40.4476834)",,"2"
8412,"Sapaike","Area","area","area around Abdera","p POINT(24.9514602 40.9814734)",,"2"
16672,"Sardes","Settlement","city","Sardis","p POINT(28.1114445 38.4663784)",,"2"
2120,"Selymbria","Settlement","city",,"p POINT(28.247868 41.073678)",,"2"
2078,"Seuthopolis","Settlement","city",,"p POINT(25.3034842 42.6170941)",,"2"
7619,"Skedabria","Settlement","Thracian village","near Pizos",,,"2"
7623,"Skepte","Settlement","Thracian village","near Pizos",,,"2"
3439,"Smyrna / Zmyrna","Settlement","city",,"p POINT(27.1219826 38.4122732)",,"2"
2091,"Sparta","Settlement","city",,"p POINT(22.430264 37.074461)",,"2"
7620,"Stratopara","Settlement","Thracian village","near Pizos",,,"2"
7634,"Strouneilos","Settlement","Thracian village","near Pizos",,,"2"
14075,"Syria","Area","area","Syria",,,"2"
2133,"Teos","Area","city","Sığacık","p POINT(26.777552 38.187557)",,"2"
2332,"Thessalonike","Settlement","city",,"p POINT(22.9446064 40.6393495)",,"2"
2167,"Thrake","Area","region","Thrace","p POINT(26.4086816 42.2640806)",,"2"
3347,"Traianoupolis","Settlement","city",,"p POINT(26.0320616 40.8648481)",,"2"
2123,"Tyras","Settlement","city"," Bilhorod-Dnistrovskyi","p POINT(30.3414908 46.1854516)",,"2"
